0	0
0.005	0.001
0.011	0.002
0.012	0.048
0.015	0.065
0.022	0.069
0.027	0.07
0.028	0.071
0.037	0.072
0.041	0.079
0.047	0.085
0.052	0.096
0.056	0.086
0.059	0.139
0.06	0.124
0.067	0.144
0.074	0.152
0.079	0.159
0.084	0.153
0.085	0.155
0.094	0.179
0.095	0.158
0.102	0.186
0.106	0.194
0.113	0.189
0.114	0.196
0.122	0.212
0.128	0.228
0.131	0.214
0.136	0.231
0.138	0.223
0.142	0.235
0.144	0.22
0.148	0.229
0.154	0.24
0.163	0.246
0.164	0.263
0.174	0.301
0.18	0.307
0.183	0.298
0.189	0.323
0.189	0.296
0.191	0.352
0.192	0.327
0.207	0.367
0.208	0.366
0.21	0.368
0.219	0.39
0.22	0.385
0.229	0.412
0.233	0.445
0.239	0.424
0.246	0.429
0.246	0.476
0.247	0.473
0.26	0.477
0.265	0.484
0.265	0.494
0.268	0.464
0.269	0.493
0.272	0.477
0.278	0.494
0.291	0.508
0.292	0.5
0.293	0.505
0.298	0.505
0.299	0.546
0.301	0.526
0.308	0.549
0.308	0.513
0.31	0.519
0.33	0.553
0.332	0.546
0.337	0.586
0.345	0.565
0.346	0.568
0.354	0.591
0.355	0.629
0.357	0.629
0.366	0.633
0.372	0.633
0.375	0.633
0.376	0.624
0.387	0.636
0.392	0.67
0.392	0.676
0.399	0.679
0.402	0.676
0.403	0.681
0.42	0.687
0.421	0.689
0.425	0.689
0.43	0.687
0.44	0.703
0.441	0.691
0.445	0.693
0.449	0.696
0.455	0.734
0.461	0.722
0.465	0.736
0.468	0.713
0.469	0.738
0.479	0.739
0.49	0.726
0.492	0.731
0.495	0.74
0.496	0.73
0.498	0.737
0.5	0.744
0.507	0.744
0.509	0.747
0.516	0.748
0.522	0.745
0.526	0.743
0.537	0.747
0.539	0.75
0.54	0.751
0.55	0.755
0.556	0.75
0.559	0.753
0.567	0.756
0.578	0.759
0.579	0.77
0.586	0.766
0.586	0.771
0.595	0.763
0.599	0.781
0.603	0.78
0.612	0.776
0.618	0.795
0.619	0.781
0.62	0.789
0.626	0.794
0.636	0.801
0.642	0.791
0.646	0.802
0.651	0.791
0.657	0.798
0.659	0.808
0.66	0.8
0.661	0.797
0.677	0.805
0.678	0.815
0.684	0.815
0.692	0.81
0.693	0.818
0.696	0.809
0.698	0.818
0.699	0.819
0.71	0.824
0.712	0.824
0.714	0.822
0.719	0.826
0.723	0.827
0.737	0.83
0.74	0.831
0.745	0.833
0.747	0.835
0.75	0.838
0.765	0.844
0.767	0.842
0.775	0.844
0.782	0.857
0.784	0.849
0.788	0.846
0.791	0.863
0.798	0.859
0.799	0.862
0.811	0.87
0.813	0.875
0.815	0.872
0.822	0.872
0.824	0.873
0.824	0.875
0.834	0.875
0.844	0.88
0.849	0.88
0.856	0.881
0.863	0.885
0.869	0.891
0.869	0.9
0.869	0.888
0.872	0.893
0.882	0.908
0.886	0.91
0.895	0.912
0.895	0.907
0.898	0.913
0.901	0.914
0.916	0.918
0.919	0.918
0.919	0.918
0.923	0.919
0.932	0.923
0.936	0.938
0.937	0.931
0.944	0.94
0.952	0.943
0.959	0.95
0.961	0.949
0.961	0.951
0.972	0.96
0.977	0.961
0.982	0.961
0.987	0.963
0.991	0.999
0.992	1
