experiment:_Bos_taurus_9913_-_Cellular_component:_cols-genes_10__rows-features_207__vals-annotazioni_7658_threshold=0.45_HUs=25
(gene oid, feature oid)
(4153547, 200816),
(4153547, 216592),
(4153547, 216593),
(4153547, 216595),
(4153547, 216597),
(4153547, 217533),
(4161095, 217533),
(4151581, 200713),
(4151581, 200714),
(4151581, 200816),
(4151581, 216592),
(4151581, 216593),
(4151581, 216595),
(4151581, 216597),
(4151581, 217511),
(4151581, 217513),
(4151581, 217533),
(4151581, 217552),
(4153030, 200816),
(4153030, 216593),
(4153030, 216597),
(4153030, 217533),
(4152042, 216593),
(4152042, 216597),
(4154009, 200816),
(4154009, 217533),
(4153868, 216592),
(4153868, 216593),
(4153868, 216595),
(4153868, 216597),
(4153868, 217533),
(4153109, 200816),
(4153109, 217533),
(4152309, 200713),
(4152309, 200816),
(4152309, 216592),
(4152309, 216593),
(4152309, 216595),
(4152309, 216597),
(4152309, 217511),
(4152309, 217513),
(4152309, 217533),
(4156597, 200713),
(4156597, 200816),
(4156597, 216592),
(4156597, 216593),
(4156597, 216595),
(4156597, 216597),
(4156597, 217513),
(4156597, 217533),
(4152878, 200713),
(4152878, 200816),
(4152878, 216592),
(4152878, 216593),
(4152878, 216595),
(4152878, 216597),
(4152878, 217513),
(4152878, 217533),
(4165506, 216592),
(4165506, 216593),
(4165506, 216595),
(4165506, 216597),
(4157453, 216593),
(4157453, 216597),
(4164002, 200816),
(4164002, 217533),
(4163630, 216592),
(4163630, 216593),
(4163630, 216595),
(4163630, 216597),
(4153371, 200713),
(4153371, 200816),
(4153371, 216592),
(4153371, 216593),
(4153371, 216595),
(4153371, 216597),
(4153371, 217513),
(4153371, 217533),
(4157048, 216592),
(4157048, 216593),
(4157048, 216595),
(4157048, 216597),
(4157048, 217533),
(4159649, 200713),
(4159649, 200816),
(4159649, 216592),
(4159649, 216593),
(4159649, 216595),
(4159649, 216597),
(4159649, 217513),
(4159649, 217533),
(4152110, 200713),
(4152110, 200816),
(4152110, 216592),
(4152110, 216593),
(4152110, 216595),
(4152110, 216597),
(4152110, 217513),
(4152110, 217533),
(4152991, 200713),
(4152991, 200714),
(4152991, 200816),
(4152991, 216592),
(4152991, 216593),
(4152991, 216595),
(4152991, 216597),
(4152991, 217513),
(4152991, 217533),
(4152991, 217552),
(4154888, 217533),
(4154210, 200816),
(4154210, 217533),
(4163599, 200816),
(4163599, 217533),
(4156713, 200816),
(4156713, 217533),
(4161060, 200816),
(4161060, 217533),
(4153033, 200713),
(4153033, 200816),
(4153033, 216592),
(4153033, 216593),
(4153033, 216595),
(4153033, 216597),
(4153033, 217513),
(4153033, 217533),
(4153477, 200816),
(4153477, 216592),
(4153477, 216593),
(4153477, 216595),
(4153477, 216597),
(4153477, 217513),
(4153477, 217533),
(4151830, 200816),
(4151830, 217533),
(4167000, 200816),
(4167000, 217533),
(4152949, 216592),
(4152949, 216593),
(4152949, 216595),
(4152949, 216597),
(4155825, 200713),
(4155825, 200714),
(4155825, 200816),
(4155825, 216592),
(4155825, 216593),
(4155825, 216595),
(4155825, 216597),
(4155825, 217513),
(4155825, 217533),
(4155825, 217552),
(4152251, 200816),
(4152251, 216592),
(4152251, 216593),
(4152251, 216595),
(4152251, 216597),
(4152251, 217513),
(4152251, 217533),
(4159436, 200816),
(4159436, 217533),
(4152998, 217533),
(4151881, 200713),
(4151881, 200816),
(4151881, 216592),
(4151881, 216593),
(4151881, 216595),
(4151881, 216597),
(4151881, 217513),
(4151881, 217533),
(4152412, 200816),
(4152412, 217533),
(4158717, 216592),
(4158717, 216593),
(4158717, 216595),
(4158717, 216597),
(4156945, 216592),
(4156945, 216593),
(4156945, 216595),
(4156945, 216597),
(4153832, 200713),
(4153832, 200816),
(4153832, 216592),
(4153832, 216593),
(4153832, 216595),
(4153832, 216597),
(4153832, 217513),
(4153832, 217533),
(4155711, 200816),
(4155711, 217533),
(4153073, 216592),
(4153073, 216593),
(4153073, 216595),
(4153073, 216597),
(4153073, 217533),
(4160128, 200816),
(4160128, 217533),
(4152807, 200816),
(4152807, 217533),
(4165681, 200816),
(4165681, 217533),
(4153388, 200816),
(4153388, 217533),
(4159099, 216592),
(4159099, 216593),
(4159099, 216595),
(4159099, 216597),
(4165552, 216592),
(4165552, 216593),
(4165552, 216595),
(4165552, 216597),
(4153225, 216592),
(4153225, 216593),
(4153225, 216595),
(4153225, 216597),
(4155940, 217533),
(4152234, 200713),
(4152234, 200714),
(4152234, 200816),
(4152234, 216592),
(4152234, 216593),
(4152234, 216595),
(4152234, 216597),
(4152234, 217513),
(4152234, 217533),
(4152234, 217552),
(4152660, 216592),
(4152660, 216593),
(4152660, 216595),
(4152660, 216597),
(4165699, 200816),
(4165699, 217533),
(4156019, 200816),
(4156019, 217533),
(4154658, 200816),
(4154658, 217533),
(4165464, 200816),
(4165464, 217533),
(4156206, 216593),
(4156206, 216597),
(4153771, 200713),
(4153771, 200816),
(4153771, 216592),
(4153771, 216593),
(4153771, 216595),
(4153771, 216597),
(4153771, 217513),
(4153771, 217533),
(4166953, 200816),
(4166953, 217533),
(4157191, 200816),
(4157191, 217533),
(4152855, 200816),
(4152855, 216593),
(4152855, 216597),
(4152855, 217533),
(4167740, 200816),
(4167740, 217533),
(4151766, 200816),
(4151766, 217533),
(4151878, 216592),
(4151878, 216593),
(4151878, 216595),
(4151878, 216597),
(4151878, 217533),
(4155009, 200816),
(4155009, 217533),
(4163686, 200816),
(4163686, 217533),
(4152140, 216592),
(4152140, 216593),
(4152140, 216595),
(4152140, 216597),
(4152057, 200816),
(4152057, 217533),
(4151893, 216592),
(4151893, 216593),
(4151893, 216595),
(4151893, 216597),
(4151893, 217533),
(4161598, 216592),
(4161598, 216593),
(4161598, 216595),
(4161598, 216597),
(4161598, 217533),
(4163399, 217533),
(4167807, 217533),
(4152833, 200713),
(4152833, 200816),
(4152833, 216592),
(4152833, 216593),
(4152833, 216595),
(4152833, 216597),
(4152833, 217513),
(4152833, 217533),
(4152618, 200713),
(4152618, 200714),
(4152618, 200816),
(4152618, 216592),
(4152618, 216593),
(4152618, 216595),
(4152618, 216597),
(4152618, 217513),
(4152618, 217533),
(4152618, 217552),
(4159505, 200713),
(4159505, 200816),
(4159505, 216592),
(4159505, 216593),
(4159505, 216595),
(4159505, 216597),
(4159505, 217513),
(4159505, 217533),
(4167478, 216593),
(4167478, 216597),
(4157751, 200713),
(4157751, 200816),
(4157751, 216592),
(4157751, 216593),
(4157751, 216595),
(4157751, 216597),
(4157751, 217513),
(4157751, 217533),
(4161063, 216592),
(4161063, 216593),
(4161063, 216595),
(4161063, 216597),
(4152036, 200816),
(4152036, 216593),
(4152036, 216597),
(4152036, 217533),
(4152007, 200713),
(4152007, 200816),
(4152007, 216592),
(4152007, 216593),
(4152007, 216595),
(4152007, 216597),
(4152007, 217513),
(4152007, 217533),
(4152694, 200713),
(4152694, 200816),
(4152694, 216592),
(4152694, 216593),
(4152694, 216595),
(4152694, 216597),
(4152694, 217513),
(4152694, 217533),
(4153200, 216593),
(4153200, 216597),
(4153200, 217533),
(4151723, 217533),
(4153385, 200713),
(4153385, 200816),
(4153385, 216592),
(4153385, 216593),
(4153385, 216595),
(4153385, 216597),
(4153385, 217513),
(4153385, 217533),
(4164052, 200816),
(4164052, 217533),
(4152566, 217533),
(4158766, 216595),
(4158766, 216597),
(4156241, 200713),
(4156241, 200816),
(4156241, 216592),
(4156241, 216593),
(4156241, 216595),
(4156241, 216597),
(4156241, 217513),
(4156241, 217533),
(4157438, 200713),
(4157438, 200816),
(4157438, 216592),
(4157438, 216593),
(4157438, 216595),
(4157438, 216597),
(4157438, 217513),
(4157438, 217533),
(4151636, 200816),
(4151636, 217533),
(4151781, 200713),
(4151781, 200816),
(4151781, 216592),
(4151781, 216593),
(4151781, 216595),
(4151781, 216597),
(4151781, 217513),
(4151781, 217533),
(4152326, 216592),
(4152326, 216593),
(4152326, 216595),
(4152326, 216597),
(4152326, 217533),
(4152271, 200816),
(4152271, 216593),
(4152271, 216597),
(4152271, 217533),
(4159171, 216592),
(4159171, 216593),
(4159171, 216595),
(4159171, 216597),
(4161411, 200713),
(4161411, 200816),
(4161411, 216595),
(4161411, 216597),
(4161411, 217513),
(4161411, 217533),
(4159312, 216592),
(4159312, 216593),
(4159312, 216595),
(4159312, 216597),
(4159312, 217533),
(4166794, 200816),
(4166794, 216597),
(4166794, 217533),
(4154453, 216592),
(4154453, 216593),
(4154453, 216595),
(4154453, 216597),
(4152165, 200713),
(4152165, 200816),
(4152165, 216592),
(4152165, 216593),
(4152165, 216595),
(4152165, 216597),
(4152165, 217513),
(4152165, 217533),
(4157552, 217533),
(4156938, 217533),
(4153151, 200816),
(4153151, 217533),
(4152841, 200713),
(4152841, 200816),
(4152841, 216592),
(4152841, 216593),
(4152841, 216595),
(4152841, 216597),
(4152841, 217513),
(4152841, 217533),
(4152124, 216593),
(4152124, 216597),
(4166817, 200816),
(4166817, 217533),
(4157758, 200816),
(4157758, 217533),
(4151962, 216592),
(4151962, 216593),
(4151962, 216595),
(4151962, 216597),
(4151962, 217533),
(4168103, 200816),
(4168103, 216593),
(4168103, 216597),
(4168103, 217533),
(4152835, 200713),
(4152835, 200816),
(4152835, 216592),
(4152835, 216593),
(4152835, 216595),
(4152835, 216597),
(4152835, 217513),
(4152835, 217533),
(4155484, 200816),
(4155484, 216592),
(4155484, 216593),
(4155484, 216595),
(4155484, 216597),
(4155484, 217533),
(4153023, 216592),
(4153023, 216593),
(4153023, 216595),
(4153023, 216597),
(4152693, 200713),
(4152693, 200816),
(4152693, 216592),
(4152693, 216593),
(4152693, 216595),
(4152693, 216597),
(4152693, 217513),
(4152693, 217533),
(4152545, 200816),
(4152545, 217533),
(4167325, 216592),
(4167325, 216593),
(4167325, 216595),
(4167325, 216597),
(4158143, 217533),
(4158458, 217533),
(4152568, 200816),
(4152568, 217533),
(4167777, 216592),
(4167777, 216593),
(4167777, 216595),
(4167777, 216597),
(4151951, 200713),
(4151951, 200714),
(4151951, 200816),
(4151951, 216592),
(4151951, 216593),
(4151951, 216595),
(4151951, 216597),
(4151951, 217513),
(4151951, 217533),
(4151951, 217552),
(4160735, 216592),
(4160735, 216593),
(4160735, 216595),
(4160735, 216597),
(4162369, 216592),
(4162369, 216593),
(4162369, 216595),
(4162369, 216597),
(4162369, 217533),
(4155226, 200816),
(4155226, 217533),
(4154802, 200816),
(4154802, 217533),
(4155674, 216592),
(4155674, 216593),
(4155674, 216595),
(4155674, 216597),
(4152235, 200713),
(4152235, 200714),
(4152235, 200816),
(4152235, 216592),
(4152235, 216593),
(4152235, 216595),
(4152235, 216597),
(4152235, 217513),
(4152235, 217533),
(4152235, 217552),
(4152850, 217533),
(4157179, 200816),
(4157179, 217533),
(4162991, 216593),
(4162991, 216597),
(4153257, 216593),
(4153257, 216597),
(4151937, 200713),
(4151937, 200816),
(4151937, 216592),
(4151937, 216593),
(4151937, 216595),
(4151937, 216597),
(4151937, 217513),
(4151937, 217533),
(4153042, 216593),
(4153042, 216597),
(4167257, 200816),
(4167257, 217533),
(4156309, 200816),
(4156309, 217533),
(4153850, 200713),
(4153850, 200714),
(4153850, 200816),
(4153850, 216592),
(4153850, 216593),
(4153850, 216595),
(4153850, 216597),
(4153850, 217513),
(4153850, 217533),
(4153850, 217552),
(4151909, 200713),
(4151909, 200714),
(4151909, 200816),
(4151909, 216592),
(4151909, 216593),
(4151909, 216595),
(4151909, 216597),
(4151909, 217513),
(4151909, 217533),
(4151909, 217552),
(4154828, 200713),
(4154828, 200714),
(4154828, 200816),
(4154828, 216592),
(4154828, 216593),
(4154828, 216595),
(4154828, 216597),
(4154828, 217511),
(4154828, 217513),
(4154828, 217533),
(4154828, 217552),
(4160776, 216592),
(4160776, 216593),
(4160776, 216595),
(4160776, 216597),
(4165275, 200816),
(4165275, 217533),
(4152118, 216592),
(4152118, 216593),
(4152118, 216595),
(4152118, 216597),
(4152118, 217533),
(4153157, 216592),
(4153157, 216593),
(4153157, 216595),
(4153157, 216597),
(4159145, 216592),
(4159145, 216593),
(4159145, 216595),
(4159145, 216597),
(4153772, 216593),
(4153772, 216597),
(4167868, 200713),
(4167868, 200816),
(4167868, 216592),
(4167868, 216593),
(4167868, 216595),
(4167868, 216597),
(4167868, 217513),
(4167868, 217533),
(4159010, 216592),
(4159010, 216593),
(4159010, 216595),
(4159010, 216597),
(4157003, 216592),
(4157003, 216593),
(4157003, 216595),
(4157003, 216597),
(4157003, 217533),
(4165124, 216592),
(4165124, 216593),
(4165124, 216595),
(4165124, 216597),
(4153443, 216593),
(4153443, 216597),
(4153662, 216592),
(4153662, 216593),
(4153662, 216595),
(4153662, 216597),
(4169684, 200816),
(4169684, 216592),
(4169684, 216593),
(4169684, 216595),
(4169684, 216597),
(4169684, 217533),
(4158184, 217533),
(4151658, 200713),
(4151658, 200714),
(4151658, 200816),
(4151658, 216592),
(4151658, 216593),
(4151658, 216595),
(4151658, 216597),
(4151658, 217513),
(4151658, 217533),
(4151658, 217552),
(4169894, 200713),
(4169894, 200816),
(4169894, 216592),
(4169894, 216593),
(4169894, 216595),
(4169894, 216597),
(4169894, 217513),
(4169894, 217533),
(4157121, 200816),
(4157121, 217533),
(4151680, 200713),
(4151680, 200714),
(4151680, 200816),
(4151680, 216592),
(4151680, 216593),
(4151680, 216595),
(4151680, 216597),
(4151680, 217511),
(4151680, 217513),
(4151680, 217533),
(4151680, 217552),
(4156572, 200816),
(4156572, 216593),
(4156572, 216597),
(4156572, 217533),
(4151900, 200713),
(4151900, 200816),
(4151900, 216592),
(4151900, 216593),
(4151900, 216595),
(4151900, 216597),
(4151900, 217513),
(4151900, 217533),
(4158163, 216593),
(4158163, 216597),
(4151750, 216593),
(4151750, 216597),
(4151750, 217533),
(4152335, 217533),
(4151670, 200713),
(4151670, 200714),
(4151670, 200816),
(4151670, 216592),
(4151670, 216593),
(4151670, 216595),
(4151670, 216597),
(4151670, 217513),
(4151670, 217533),
(4151670, 217552),
(4163396, 216592),
(4163396, 216593),
(4163396, 216595),
(4163396, 216597),
(4152237, 200816),
(4152237, 217533),
(4151944, 200713),
(4151944, 200816),
(4151944, 216592),
(4151944, 216593),
(4151944, 216595),
(4151944, 216597),
(4151944, 217513),
(4151944, 217533),
(4175953, 216592),
(4175953, 216593),
(4175953, 216595),
(4175953, 216597),
(4175953, 217533),
(4163934, 216592),
(4163934, 216593),
(4163934, 216595),
(4163934, 216597),
(4158678, 216592),
(4158678, 216593),
(4158678, 216595),
(4158678, 216597),
(4158678, 217533),
(4153740, 216595),
(4153740, 216597),
(4153740, 217533),
(4160127, 200713),
(4160127, 200816),
(4160127, 216592),
(4160127, 216593),
(4160127, 216595),
(4160127, 216597),
(4160127, 217513),
(4160127, 217533),
(4152382, 200816),
(4152382, 217533),
(4167275, 200713),
(4167275, 200816),
(4167275, 216592),
(4167275, 216593),
(4167275, 216595),
(4167275, 216597),
(4167275, 217513),
(4167275, 217533),
(4158834, 216592),
(4158834, 216593),
(4158834, 216595),
(4158834, 216597),
(4158834, 217533),
(4153941, 200713),
(4153941, 200714),
(4153941, 200816),
(4153941, 216592),
(4153941, 216593),
(4153941, 216595),
(4153941, 216597),
(4153941, 217513),
(4153941, 217533),
(4153941, 217552),
(4152851, 217533),
(4165216, 216593),
(4165216, 216597),
(4162835, 216593),
(4162835, 216597),
(4152501, 200816),
(4152501, 217533),
(4157137, 200816),
(4157137, 217533),
(4158489, 216592),
(4158489, 216593),
(4158489, 216595),
